ref_clip,target_clip,sub,dim,test_acc_random,test_f1_random,test_acc_not_align,test_f1_not_align,test_acc_align,test_f1_align
MO,CI,sub-19,2,0.10300429184549356,0.019389043170916435,0.12875536480686695,0.09786868753093794,0.8583690987124464,0.8234612941433368
MO,CI,sub-25,2,0.08583690987124463,0.01886525491675706,0.0,0.0,0.26609442060085836,0.22144770573494255
MO,CI,sub-30,2,0.19742489270386265,0.11400158596614364,0.18454935622317598,0.062485215099185566,0.2532188841201717,0.1491301816183398
MO,CI,sub-43,2,0.4334763948497854,0.26216237053789415,0.02575107296137339,0.029006167870360887,0.004291845493562232,0.0029712776493892377
SP,CI,sub-01,3,0.21030042918454936,0.11359837361644455,0.6695278969957081,0.6768115772081827,0.31759656652360513,0.31053164587851667
SP,CI,sub-02,3,0.34334763948497854,0.175513170343759,0.004291845493562232,0.00604485280783413,0.5836909871244635,0.5428120717879832
SP,CI,sub-19,3,0.33047210300429186,0.25410578506361026,0.33047210300429186,0.33929553993931677,0.33047210300429186,0.33021748492938985
SP,CI,sub-25,3,0.34334763948497854,0.313304721030043,0.02145922746781116,0.023356982277889692,0.6952789699570815,0.7087875298836972
SP,CI,sub-30,3,0.4721030042918455,0.30280659167407,0.0944206008583691,0.016292182108895062,0.26180257510729615,0.27329249094611907
SP,CI,sub-43,3,0.43776824034334766,0.27376772011965145,0.0,0.0,0.0,0.0
SP,MO,sub-01,3,0.6952789699570815,0.5849443931414434,0.012875536480686695,0.017668434691068102,0.6824034334763949,0.6865669986489902
SP,MO,sub-02,3,0.3133047210300429,0.15247496423462087,0.0,0.0,0.7124463519313304,0.6293966771565432
SP,MO,sub-19,3,0.1459227467811159,0.0666165579547866,0.04291845493562232,0.044611216752933995,0.27896995708154504,0.3400881851665815
SP,MO,sub-25,3,0.02145922746781116,0.0011444921316165948,0.004291845493562232,0.002882582794183588,0.7811158798283262,0.7694777888019773
SP,MO,sub-30,3,0.6824034334763949,0.5997064452000074,0.0815450643776824,0.12526011184809469,0.8326180257510729,0.8408089988498976
SP,MO,sub-43,3,0.6781115879828327,0.5870774295960962,0.017167381974248927,0.020846106683016553,0.3905579399141631,0.4775868517434779
CI,SP,sub-01,3,0.48497854077253216,0.35075762051690856,0.927038626609442,0.9001923143723074,0.19313304721030042,0.19349070100143062
CI,SP,sub-02,3,0.18025751072961374,0.07978121863119374,0.2575107296137339,0.13324253819002826,0.575107296137339,0.574604151483251
CI,SP,sub-19,3,0.11158798283261803,0.10177805027590438,0.38626609442060084,0.39277775383156505,0.30042918454935624,0.32713274602816045
CI,SP,sub-25,3,0.30042918454935624,0.20188556855845524,0.0,0.0,0.7854077253218884,0.7571479090744173
