ref_sub,target_sub,clip,dim,test_acc_random,test_f1_random,test_acc_not_align,test_f1_not_align,test_acc_align,test_f1_align
sub-02,sub-25,SP,3,0.18025751072961374,0.05526142664703486,0.055793991416309016,0.027181688125894134,0.18025751072961374,0.1701306842841298
sub-02,sub-25,CI,3,0.26180257510729615,0.23650593284524107,0.33047210300429186,0.18571071471385614,0.7811158798283262,0.7607399313737915
sub-02,sub-25,MO,3,0.3905579399141631,0.3243635419601085,0.0,0.0,0.9871244635193133,0.9865602776905482
sub-02,sub-30,SP,3,0.16738197424892703,0.047999242615501134,0.0,0.0,0.1759656652360515,0.11020957990037906
sub-02,sub-30,CI,3,0.14163090128755365,0.05986844822621704,0.0944206008583691,0.016292182108895062,0.3218884120171674,0.3699511278044838
sub-02,sub-30,MO,3,0.8025751072961373,0.8242638735194221,0.04721030042918455,0.03596975270795014,0.9098712446351931,0.8918454935622319
sub-02,sub-43,SP,3,0.2832618025751073,0.1250520332438601,0.004291845493562232,0.003971558516430721,0.7725321888412017,0.7365805704651998
sub-02,sub-43,CI,3,0.33047210300429186,0.2649474945740783,0.2446351931330472,0.13017285506162143,0.2575107296137339,0.1509769898730873
sub-02,sub-43,MO,3,0.2875536480686695,0.33346413243408957,0.0,0.0,0.05150214592274678,0.03551443938253304
sub-19,sub-01,SP,3,0.31759656652360513,0.29638598750918826,0.0,0.0,0.33047210300429186,0.31295836156915896
sub-19,sub-01,CI,3,0.4721030042918455,0.33039035356631924,0.004291845493562232,0.0033901972806289903,0.6609442060085837,0.6669994622510375
sub-19,sub-01,MO,3,0.15450643776824036,0.09015317249157931,0.2317596566523605,0.22211147019633534,0.30472103004291845,0.2153466530934487
sub-19,sub-02,SP,3,0.017167381974248927,0.005939769290668405,0.15450643776824036,0.10390532521888601,0.1630901287553648,0.09484674154567314
sub-19,sub-02,CI,3,0.351931330472103,0.19670550138340717,0.4678111587982833,0.4556619924842638,0.6394849785407726,0.5793575762023302
sub-19,sub-02,MO,3,0.2703862660944206,0.11509685651316555,0.51931330472103,0.36084696457987847,0.13733905579399142,0.2143957931964912
sub-19,sub-25,SP,3,0.34763948497854075,0.20448000248802636,0.43776824034334766,0.4435730385648563,0.33905579399141633,0.2719330733535217
sub-19,sub-25,CI,3,0.3133047210300429,0.2514536413456113,0.41201716738197425,0.3592914340921698,0.2875536480686695,0.25986307503682554
sub-19,sub-25,MO,3,0.02575107296137339,0.009820324434422054,0.17167381974248927,0.18177227972734158,0.4034334763948498,0.3991868082222724
sub-19,sub-30,SP,3,0.0,0.0,0.5622317596566524,0.5685878260985557,0.2575107296137339,0.25043616315991485
sub-19,sub-30,CI,3,0.11587982832618025,0.0599257626725438,0.20600858369098712,0.08890633783337647,0.19742489270386265,0.22427058468901218
sub-19,sub-30,MO,3,0.20600858369098712,0.0740705020012538,0.27896995708154504,0.28332674975705385,0.8369098712446352,0.799171561750941
sub-19,sub-43,SP,3,0.18454935622317598,0.08299107566969219,0.004291845493562232,0.004031733645467552,0.012875536480686695,0.013594132251974431
sub-19,sub-43,CI,3,0.004291845493562232,0.008427623878267655,0.08583690987124463,0.08583690987124463,0.4592274678111588,0.46269384337007075
sub-19,sub-43,MO,3,0.7510729613733905,0.6812061066367531,0.7939914163090128,0.797192417739628,0.6394849785407726,0.6582320951755183
sub-25,sub-01,SP,3,0.09871244635193133,0.082878615107567,0.4206008583690987,0.4248493518879785,0.21888412017167383,0.2197798532593788
sub-25,sub-01,CI,3,0.10300429184549356,0.13173338004729787,0.008583690987124463,0.009097496339010188,0.5879828326180258,0.5335133550099029
sub-25,sub-01,MO,3,0.2703862660944206,0.1395714314397322,0.22746781115879827,0.20092989985693846,0.296137339055794,0.22026206812914206
sub-25,sub-02,SP,3,0.27896995708154504,0.1690742169289675,0.02145922746781116,0.01932748299024702,0.5450643776824035,0.553662646366509
sub-25,sub-02,CI,3,0.18454935622317598,0.07352563992955219,0.5107296137339056,0.40827632196753655,0.6266094420600858,0.5322291416732441
sub-25,sub-02,MO,3,0.3133047210300429,0.18746921832125518,0.004291845493562232,0.0032973934889563485,0.6995708154506438,0.6599286738199435
sub-25,sub-19,SP,3,0.008583690987124463,0.00742131616595136,0.5150214592274678,0.5130616327622504,0.37339055793991416,0.3841419430450436
sub-25,sub-19,CI,3,0.017167381974248927,0.006694199260398953,0.5364806866952789,0.5183691759733913,0.4206008583690987,0.406278970641259
sub-25,sub-19,MO,3,0.39914163090128757,0.29064967120411134,0.47639484978540775,0.42817674758040697,0.18454935622317598,0.12046971864568429
sub-25,sub-30,SP,3,0.008583690987124463,0.011607491221225124,0.0815450643776824,0.08559979133568871,0.9742489270386266,0.9744171301481336
sub-25,sub-30,CI,3,0.4721030042918455,0.30280659167407,0.4721030042918455,0.30280659167407,0.34763948497854075,0.35931375689088013
sub-25,sub-30,MO,3,0.6351931330472103,0.6130736081163601,0.2017167381974249,0.16137339055793992,0.927038626609442,0.9005932041223587
sub-25,sub-43,SP,3,0.017167381974248927,0.0045292667336316325,0.3905579399141631,0.389357942153167,0.7124463519313304,0.7101409106461829
sub-25,sub-43,CI,3,0.24892703862660945,0.2375354321612952,0.02145922746781116,0.012262994248177814,0.22746781115879827,0.2167381974248927
sub-25,sub-43,MO,3,0.1459227467811159,0.05432776570115626,0.6180257510729614,0.6160761430254126,0.3562231759656652,0.3544336824633396
sub-30,sub-01,SP,3,0.4291845493562232,0.25776849811184577,0.10300429184549356,0.10300429184549356,0.1459227467811159,0.1916233484616473
sub-30,sub-01,CI,3,0.3905579399141631,0.3307427599273093,0.30472103004291845,0.19542700546665534,0.5021459227467812,0.40124018015781543
sub-30,sub-01,MO,3,0.06866952789699571,0.008824999569091817,0.004291845493562232,0.007434692980973945,0.08583690987124463,0.049745843642657155
sub-30,sub-02,SP,3,0.12875536480686695,0.040927864468447095,0.02575107296137339,0.0259810151184864,0.51931330472103,0.5462156766786257
sub-30,sub-02,CI,3,0.19742489270386265,0.098221339653663,0.19742489270386265,0.07928710550355932,0.45064377682403434,0.39214825115258745
sub-30,sub-02,MO,3,0.19742489270386265,0.06510068146507299,0.21888412017167383,0.21675903162631777,0.5879828326180258,0.5699352771151379
sub-30,sub-19,SP,3,0.060085836909871244,0.057419199941570194,0.7510729613733905,0.6665519699720945,0.3562231759656652,0.36415189973406353
