ref_sub,target_sub,clip,dim,test_acc_random,test_f1_random,test_acc_not_align,test_f1_not_align,test_acc_align,test_f1_align
sub-02,sub-43,MO,1,0.41630901287553645,0.42326508595417334,0.16738197424892703,0.05984543158273336,0.16738197424892703,0.05984543158273336
sub-19,sub-01,SP,1,0.15021459227467812,0.09837583101910292,0.1630901287553648,0.1308918199632709,0.45064377682403434,0.33875980464703276
sub-19,sub-01,CI,1,0.2017167381974249,0.06771919068056406,0.2875536480686695,0.1661809599723698,0.2875536480686695,0.1661809599723698
sub-19,sub-01,MO,1,0.22746781115879827,0.08430625168822593,0.07725321888412018,0.03750947486858601,0.07725321888412018,0.03750947486858601
sub-19,sub-02,SP,1,0.0944206008583691,0.02441912091164718,0.23605150214592274,0.11848018347545385,0.06866952789699571,0.017759360663016137
sub-19,sub-02,CI,1,0.34334763948497854,0.175513170343759,0.27467811158798283,0.20852538019919994,0.27467811158798283,0.20852538019919994
sub-19,sub-02,MO,1,0.2703862660944206,0.11509685651316555,0.23605150214592274,0.1580152867267452,0.2317596566523605,0.14601134102637395
sub-19,sub-25,SP,1,0.15879828326180256,0.13076824725453204,0.3090128755364807,0.22540578697576058,0.3090128755364807,0.22540578697576058
sub-19,sub-25,CI,1,0.08583690987124463,0.013571052944070298,0.19742489270386265,0.09033463725195193,0.19742489270386265,0.09033463725195193
sub-19,sub-25,MO,1,0.19313304721030042,0.06252508722635625,0.36909871244635195,0.26380167774277585,0.36909871244635195,0.26380167774277585
sub-19,sub-30,SP,1,0.14163090128755365,0.07770841461828587,0.3605150214592275,0.32056925745193726,0.4034334763948498,0.3471311481141192
sub-19,sub-30,CI,1,0.0944206008583691,0.016292182108895062,0.1888412017167382,0.08273957801854796,0.1888412017167382,0.08273957801854796
sub-19,sub-30,MO,1,0.20600858369098712,0.07038015670581767,0.6437768240343348,0.6048398695036749,0.6437768240343348,0.6048398695036749
sub-19,sub-43,SP,1,0.4721030042918455,0.34296544307455784,0.0944206008583691,0.03988078206962327,0.18025751072961374,0.09227025674609346
sub-19,sub-43,CI,1,0.24892703862660945,0.09922864769995429,0.14163090128755365,0.09018205445136206,0.14163090128755365,0.09018205445136206
sub-19,sub-43,MO,1,0.6781115879828327,0.5480390327431589,0.3562231759656652,0.38450958151557907,0.3562231759656652,0.38450958151557907
sub-25,sub-01,SP,1,0.4291845493562232,0.25776849811184577,0.18454935622317598,0.057504509547801216,0.18454935622317598,0.057504509547801216
sub-25,sub-01,CI,1,0.36909871244635195,0.2611729229135539,0.2918454935622318,0.13186374459954658,0.2918454935622318,0.13186374459954658
sub-25,sub-01,MO,1,0.2317596566523605,0.08721269309566179,0.07725321888412018,0.03750947486858601,0.07725321888412018,0.03750947486858601
sub-25,sub-02,SP,1,0.12875536480686695,0.029373847484456338,0.1759656652360515,0.05266125747940228,0.1759656652360515,0.05266125747940228
